EDINET CODE,証券コード,会社名,33業種区分,17業種区分,規模区分
E00279,17680,株式会社ソネック,建設業,建設・資材 ,7
E00961,45490,栄研化学株式会社,医薬品,医薬品 ,6
E01456,64670,株式会社ニチダイ,機械,機械 ,
E00045,,大室温泉株式会社,,,
E04152,,横浜高速鉄道株式会社,,,
E03841,12340,北海道建設業信用保証株式会社,,,
E04209,90570,遠州トラック株式会社,陸運業,運輸・物流 ,
E27115,,株式会社ダイナムジャパンホールディングス,,,
E01735,62540,野村マイクロ・サイエンス株式会社,機械,機械 ,
E03418,27820,株式会社セリア,小売業,小売 ,
E02836,74770,ムラキ株式会社,卸売業,商社・卸売 ,
E04380,94050,朝日放送株式会社,情報・通信業,情報通信・サービスその他 ,7
E00119,19640,中外炉工業株式会社,建設業,建設・資材 ,7
E03738,,全宅住宅ローン株式会社,,,
E03269,75090,アイエーグループ株式会社,小売業,小売 ,
E00360,21140,フジ日本精糖株式会社,食料品,食品 ,
E01696,62940,オカダアイヨン株式会社,機械,機械 ,7
E04412,,札幌テレビ放送株式会社,,,
E02655,81360,株式会社サンリオ,卸売業,商社・卸売 ,4
E02230,72680,株式会社タツミ,輸送用機器,自動車・輸送機 ,
E03276,75230,アールビバン株式会社,小売業,小売 ,
E04666,,福山観光開発株式会社,,,
E02940,27140,プラマテルズ株式会社,卸売業,商社・卸売 ,
E04899,96250,株式会社セレスポ,サービス業,情報通信・サービスその他 ,
E04102,90410,近鉄グループホールディングス株式会社,陸運業,運輸・物流 ,4
E02489,38510,株式会社日本一ソフトウェア,情報・通信業,情報通信・サービスその他 ,
E03660,,株式会社西京銀行,,,
E01089,51040,日東化工株式会社,ゴム製品,自動車・輸送機 ,
E04920,97990,旭情報サービス株式会社,情報・通信業,情報通信・サービスその他 ,
E03572,83640,株式会社清水銀行,銀行業,銀行 ,7
E04843,,東京博善株式会社,,,
E02117,66390,株式会社コンテック,電気機器,電機・精密 ,
E01251,54610,中部鋼鈑株式会社,,,
E03358,26690,カネ美食品株式会社,小売業,小売 ,
E02194,59490,ユニプレス株式会社,輸送用機器,自動車・輸送機 ,4
E02766,99570,株式会社バイテックホールディングス,卸売業,商社・卸売 ,7
E02069,67370,EIZO株式会社,電気機器,電機・精密 ,6
E03838,,東日本建設業保証株式会社,,,
E00837,43670,広栄化学工業株式会社,化学,素材・化学 ,
E01403,59690,株式会社ロブテックス,金属製品,建設・資材 ,
E04357,93680,キムラユニティー株式会社,倉庫・運輸関連業,運輸・物流 ,7
E02683,80230,大興電子通信株式会社,卸売業,商社・卸売 ,
E04804,97440,株式会社メイテック,サービス業,情報通信・サービスその他 ,4
E02938,27080,株式会社久世,卸売業,商社・卸売 ,
E00405,,モンデ酒造株式会社,,,
E01755,66450,オムロン株式会社,電気機器,電機・精密 ,4
E02201,72770,株式会社ＴＢＫ,輸送用機器,自動車・輸送機 ,7
E04326,93550,株式会社リンコーコーポレーション,倉庫・運輸関連業,運輸・物流 ,
E01396,59940,株式会社ファインシンター,金属製品,建設・資材 ,
E05389,23970,株式会社ＤＮＡチップ研究所,サービス業,情報通信・サービスその他 ,
E00285,17620,株式会社髙松コンストラクショングループ,建設業,建設・資材 ,7
E03316,76060,株式会社ユナイテッドアローズ,小売業,小売 ,6
E31997,61860,株式会社一蔵,サービス業,情報通信・サービスその他 ,7
E02129,70140,株式会社名村造船所,輸送用機器,自動車・輸送機 ,6
E04869,96580,株式会社ビジネスブレイン太田昭和,情報・通信業,情報通信・サービスその他 ,7
E32225,39360,株式会社グローバルウェイ,情報・通信業,情報通信・サービスその他 ,
E27562,,SBI AXES 株式会社,,,
E00922,45060,大日本住友製薬株式会社,医薬品,医薬品 ,4
E02166,72670,本田技研工業株式会社,輸送用機器,自動車・輸送機 ,1
E02735,98820,株式会社イエローハット,卸売業,商社・卸売 ,6
E05430,37510,日本アジアグループ株式会社,情報・通信業,情報通信・サービスその他 ,7
E03837,,西日本建設業保証株式会社,,,
E01805,67980,ＳＭＫ株式会社,電気機器,電機・精密 ,7
E01115,51620,株式会社朝日ラバー,ゴム製品,自動車・輸送機 ,
E02624,,山崎金属産業株式会社,,,
E01831,68090,ＴＯＡ株式会社,電気機器,電機・精密 ,7
E03693,85720,アコム株式会社,その他金融業,金融（除く銀行） ,4
E04815,97530,アイエックス・ナレッジ株式会社,情報・通信業,情報通信・サービスその他 ,
E25621,32750,ハウスコム株式会社,不動産業,不動産 ,
E03544,83490,株式会社　東北銀行,銀行業,銀行 ,7
E01880,69230,スタンレー電気株式会社,電気機器,電機・精密 ,4
E00872,34010,帝人株式会社,繊維製品,素材・化学 ,4
E01247,54510,株式会社淀川製鋼所,鉄鋼,鉄鋼・非鉄 ,6
E00434,26130,株式会社Ｊ－オイルミルズ,食料品,食品 ,7
